task_seed,representation,speedup,success,completion_time_s,tracking_rmse_m,tracking_max_m,speed_max_m_s,acceleration_rms_m_s2,jerk_rms_m_s3,path_length_m,actuator_saturation_rate,forbidden_contacts,minimum_clearance_m,bundle_id,source_bundle_in_release
0,action_chunk,1.0,True,10.0,0.008483134837701195,0.019610667603267247,0.2256649501691796,1.5650009961092217,113.92241812568615,0.6620711750006512,0.6317792578496669,0.0,,20260801T035145Z-direction-change-action_chunk-1x-s0-ac60afa1,False
0,action_chunk,2.0,False,5.05,0.015503935394907156,0.035566365390559074,0.427926631361442,3.012944463358897,215.75112368189417,0.6608092933875727,0.37749546279491836,0.0,,20260801T035304Z-direction-change-action_chunk-2x-s0-36a76441,False
0,bspline_action,1.0,True,9.950000000000001,0.005561943311260199,0.011670788609912185,0.14532554323092903,0.15761539344537262,3.6609514832035206,0.6607940033517303,0.0,0.0,,20260801T035344Z-direction-change-bspline_action-1x-s0-c2e7a34e,False
0,bspline_action,2.0,True,5.0,0.009267977834205812,0.0193075466501855,0.29050384629886206,0.45568651746992345,12.200493977645475,0.6597785414873427,0.0054446460980036296,0.0,,20260801T035452Z-direction-change-bspline_action-2x-s0-a39d7396,False
1,action_chunk,1.0,True,10.0,0.008502157673193107,0.019568574843305014,0.22630177029030973,1.571117538498011,114.44115183695736,0.6640662428934593,0.6327307326355851,0.0,,20260801T035525Z-direction-change-action_chunk-1x-s1-a77ad5d4,False
1,action_chunk,2.0,False,5.05,0.015538537203905708,0.03551600788842088,0.42818637131266407,3.025428299850526,216.80771465729893,0.6627877289566082,0.41197822141560797,0.0,,20260801T035623Z-direction-change-action_chunk-2x-s1-317f4d63,False
1,bspline_action,1.0,True,9.950000000000001,0.005581513194194227,0.011630379018704905,0.14526671452442982,0.15791078929092625,3.662724489883329,0.6627987007419041,0.0,0.0,,20260801T035641Z-direction-change-bspline_action-1x-s1-c7b1d575,False
1,bspline_action,2.0,True,5.0,0.009296531621898326,0.019259063088555926,0.2900522898616084,0.4604906620616611,12.859770934498805,0.6620684927512703,0.007259528130671506,0.0,,20260801T035715Z-direction-change-bspline_action-2x-s1-21669d8c,False
